"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000129824.16",10669.1676708487,-8.77475473684625,0.147061430392799,-59.6672745084078,0,0,"RPS4Y1"
"ENSG00000289575.1",730.127427868281,3.69711792969792,0.128630774668588,28.7420948775547,1.13715767506393e-181,1.16803150594191e-177,"ENSG00000289575"
"ENSG00000108439.11",604.080480933476,-4.15781666236407,0.145031443722629,-28.6683808396464,9.46000246678484e-181,6.4778943558387e-177,"PNPO"
"ENSG00000253846.3",495.790533237668,4.47981183735934,0.195643580892077,22.8978217273101,4.88426817631548e-116,2.50843802865122e-112,"PCDHGA10"
"ENSG00000250616.4",524.454409364548,-2.4211461002624,0.120556427613715,-20.0830942670282,1.03727979296343e-89,4.26176775736956e-86,"YPEL3-DT"
"ENSG00000251129.3",1299.96654540083,-1.71563915119434,0.10299698936413,-16.6571776688439,2.68394321136547e-62,9.1893742318468e-59,"LINC02506"
"ENSG00000289456.1",383.148016066361,-2.13480561565638,0.14493209868045,-14.7296950440444,4.15576908341529e-49,1.21959948972286e-45,"ENSG00000289456"
"ENSG00000286339.1",906.036467036547,-1.71720439834164,0.117433382540632,-14.6227960158389,2.00974235076298e-48,5.16076713896548e-45,"ENSG00000286339"
"ENSG00000282914.1",120.889547638689,3.75791633222521,0.264440519397252,14.2108189047229,7.85021133462815e-46,1.79185434941407e-42,"ENSG00000282914"
"ENSG00000291093.1",152.63377207472,2.88131705734804,0.205874274479007,13.9955177238128,1.66016286962012e-44,3.4104725830606e-41,"SVIL-AS1"
"ENSG00000234797.5",3071.32561603534,-1.45498894982121,0.106194884993892,-13.7011208205075,9.99691175167556e-43,1.86696871013337e-39,"RPS3AP6"
"ENSG00000173262.12",632.687127421085,4.68380827950172,0.390663549511324,11.989366003971,4.03985298638837e-33,6.91589165828136e-30,"SLC2A14"
"ENSG00000254122.3",923.518454758573,-1.17091870238525,0.104291242535532,-11.227392386147,2.99177938751118e-29,4.72770184289555e-26,"PCDHGB7"
"ENSG00000073803.14",1561.11573944794,0.994365367990355,0.0900974502315536,11.0365539250534,2.54611680163506e-28,3.73606267542779e-25,"MAP3K13"
"ENSG00000242242.7",310.058431975275,-1.67923752242685,0.157732058224486,-10.6461396708394,1.81746453030118e-26,2.48907825639848e-23,"NECTIN3-AS1"
"ENSG00000247498.11",82.7481380364899,-2.93867397390535,0.276660233886,-10.6219601300426,2.35562032369525e-26,3.02446926935447e-23,"GPRC5D-AS1"
"ENSG00000161381.14",216.76928276459,-1.65763721520163,0.160472452403709,-10.3297306819455,5.17055510357531e-25,6.24815961722045e-22,"PLXDC1"
"ENSG00000107796.13",3357.34999872107,0.851770001188794,0.0827422322501212,10.2942593887724,7.47928960804643e-25,8.53594702322765e-22,"ACTA2"
"ENSG00000118308.16",207.635821544323,1.64095615914939,0.167814189658897,9.77841124451295,1.3938119196523e-22,1.50700411923249e-19,"IRAG2"
"ENSG00000145247.12",3758.70724676076,-0.825634255334357,0.0856911096406696,-9.63500483068206,5.68893242772936e-22,5.84338694314221e-19,"OCIAD2"
"ENSG00000183323.13",1975.13635682883,0.905001867204774,0.094533036888587,9.57339250902702,1.03454069100362e-21,1.01202711501368e-18,"CCDC125"
"ENSG00000177873.14",500.937317919324,-1.10195219100235,0.117218268023275,-9.40085713246968,5.41203715974041e-21,5.05361269875215e-18,"ZNF619"
"ENSG00000227124.11",363.501371370494,1.42003629731232,0.15294161599813,9.28482603014788,1.61971560103384e-20,1.44668772139297e-17,"ZNF717"
"ENSG00000183072.10",89.0626754807174,2.32538276141015,0.254940555059142,9.12127441187496,7.42460419060738e-20,6.35225606629627e-17,"NKX2-5"
"ENSG00000267470.6",77.4257744901361,2.36657626123611,0.259581266918623,9.11689926368227,7.73043867290108e-20,6.35225606629627e-17,"ZNF571-AS1"
"ENSG00000259129.6",270.225107695844,1.58941513131058,0.175144400981393,9.07488405227087,1.13798598719088e-19,8.99140235956238e-17,"LINC00648"
"ENSG00000133703.14",11919.6587791778,1.08940867069952,0.120176386294192,9.06508095552684,1.2451175684496e-19,9.47350007728157e-17,"KRAS"
"ENSG00000131373.15",1444.52453809326,0.850558119381196,0.0944096144495783,9.00923199761033,2.07504501220024e-19,1.52241606020106e-16,"HACL1"
"ENSG00000185985.11",174.460622829925,-2.37553143074396,0.268462167936098,-8.84866366463005,8.85734674442607e-19,6.27436117830154e-16,"SLITRK2"
"ENSG00000290588.1",41.7635460407715,4.44758217163488,0.507583332845306,8.76226992463197,1.9135739391102e-18,1.3103516477047e-15,"ENSG00000290588"
"ENSG00000104435.14",12885.8626391305,-1.5328250212777,0.177145070633019,-8.65293635211088,5.01910191409753e-18,3.32604550391308e-15,"STMN2"
"ENSG00000205707.11",595.138633936434,1.14709815380104,0.134740417056292,8.51339322574461,1.68916035103668e-17,1.08438815910458e-14,"ETFRF1"
"ENSG00000215612.8",134.29330324138,1.5823814619612,0.186454627508744,8.48668377451234,2.12617311192402e-17,1.32357497691682e-14,"HMX1"
"ENSG00000291019.1",100.962864667052,-2.06271458615548,0.244150060157057,-8.44855243872799,2.94936779835615e-17,1.78202537298913e-14,"AACSP1"
"ENSG00000198105.16",1065.21545538594,0.8440783242305,0.10006261378714,8.43550145537953,3.29785721497533e-17,1.9356537362068e-14,"ZNF248"
"ENSG00000123094.16",1407.53696557791,0.784268376020751,0.0938913058112763,8.35293927637079,6.65848859143389e-17,3.79959253149518e-14,"RASSF8"
"ENSG00000107105.15",767.759074193125,-1.08535521056024,0.130345272685686,-8.32677080033011,8.30773685862461e-17,4.61259022396555e-14,"ELAVL2"
"ENSG00000118785.15",9129.45463297076,1.30353378044246,0.156765711709908,8.31517151438463,9.1619671155764e-17,4.95300764356015e-14,"SPP1"
"ENSG00000082556.14",686.085905042687,-0.922063702438268,0.111324735868336,-8.28264891217702,1.20465178583766e-16,6.34542606063153e-14,"OPRK1"
"ENSG00000182836.11",1126.50735198605,-1.42135332681905,0.171895859048447,-8.26868858090672,1.35440539201997e-16,6.95588749206654e-14,"PLCXD3"
"ENSG00000288075.1",326.42991281819,-1.05534649828212,0.128823206550159,-8.19220796115802,2.56476979532351e-16,1.2850747781788e-13,"ENSG00000288075"
"ENSG00000156253.7",388.371403313373,1.07306533271441,0.131310417183419,8.17197413374683,3.03383589380943e-16,1.48390692301255e-13,"RWDD2B"
"ENSG00000163638.13",7525.13097103229,-0.660274906238313,0.082467349852725,-8.00650084448537,1.18018338391679e-15,5.63825750134944e-13,"ADAMTS9"
"ENSG00000181195.11",1121.83277334822,0.7063868917339,0.0901890808547148,7.83228839943292,4.79069049436111e-15,2.23670806421955e-12,"PENK"
"ENSG00000289426.1",102.325839943471,-1.9440136498553,0.25017894397259,-7.77049266811318,7.81814386707309e-15,3.56906954358406e-12,"ENSG00000289426"
"ENSG00000134817.12",113.459590094585,1.77568638112654,0.228818694653351,7.76023298191006,8.47735078084289e-15,3.78587428458382e-12,"APLNR"
"ENSG00000144331.20",455.396454909807,-0.933688928081807,0.122041811735344,-7.65056593970085,2.00096698739891e-14,8.74592868556083e-12,"ZNF385B"
"ENSG00000126709.16",90.2410866961353,-1.85072732779363,0.243577701694555,-7.59809832722058,3.00513968075025e-14,1.28613717628443e-11,"IFI6"
"ENSG00000180251.5",303.520387775867,-1.1493175530374,0.151767173945261,-7.57289948254514,3.64984715726548e-14,1.53017979901438e-11,"SLC9A4"
"ENSG00000143858.12",794.549399254565,-0.867476286677408,0.115132196807225,-7.53461074081558,4.89793690886256e-14,2.01236635837527e-11,"SYT2"
"ENSG00000155657.29",4135.81603697596,-0.752475334456416,0.0999101830729983,-7.53151792251875,5.01538257382597e-14,2.02021576890406e-11,"TTN"
"ENSG00000137573.14",190.802961021895,1.37197038871535,0.183329175885235,7.48364455406821,7.22893075708855e-14,2.8558447027475e-11,"SULF1"
"ENSG00000154556.20",3650.83175543727,-1.07448230740795,0.14490337425516,-7.41516415977932,1.21474248678409e-13,4.70838771811424e-11,"SORBS2"
"ENSG00000289578.1",175.264378761976,-1.21901532198301,0.164582074080901,-7.40673204412161,1.2944964486971e-13,4.92460010103416e-11,"ENSG00000289578"
"ENSG00000060982.15",8675.95562403976,0.651986889233521,0.0882659859383846,7.38661537966223,1.50613457750119e-13,5.62554956829217e-11,"BCAT1"
"ENSG00000128655.19",867.311214917784,-1.34898599770673,0.185321891308359,-7.27915082337543,3.35927954040176e-13,1.23231570711559e-10,"PDE11A"
"ENSG00000147488.13",249.81947092071,-1.39428828152571,0.19205129223947,-7.25997865084478,3.87151424064218e-13,1.37764097295815e-10,"ST18"
"ENSG00000133101.10",273.362861175074,1.17493218399012,0.161850886613349,7.25934969263997,3.88955733980299e-13,1.37764097295815e-10,"CCNA1"
"ENSG00000240184.7",880.633958869505,0.687556166986948,0.0958422636022403,7.17383063739406,7.29278215986733e-13,2.53924786288398e-10,"PCDHGC3"
"ENSG00000124762.14",14016.7609009081,0.575646513436514,0.0802838210726221,7.17014344541229,7.4919224504944e-13,2.56510938167511e-10,"CDKN1A"
"ENSG00000182674.6",252.609088920079,-1.09936153183608,0.155461285410221,-7.07160968684359,1.53146677995225e-12,5.15752820664904e-10,"KCNB2"
"ENSG00000217330.1",63.131643192493,-1.92844888028756,0.273166397612677,-7.05961237231642,1.66967707113173e-12,5.53228646326761e-10,"SSXP10"
"ENSG00000290901.1",26.9674777197638,3.92616054953201,0.564508018413489,6.95501289878259,3.52529780371127e-12,1.14952686954985e-09,"ENSG00000290901"
"ENSG00000244694.8",1493.64902367754,1.03833833628128,0.149918770591889,6.92600621110918,4.32887464962351e-12,1.38950112386275e-09,"PTCHD4"
"ENSG00000106927.12",19676.562954027,0.636626487593434,0.091989296890805,6.92065826254912,4.49549770395273e-12,1.42078475895848e-09,"AMBP"
"ENSG00000077279.21",1530.01351327837,-0.979741192607819,0.1416226322849,-6.9179705023198,4.58159657765688e-12,1.42605664386069e-09,"DCX"
"ENSG00000198734.12",509.205571583786,1.59612658272804,0.231812935128929,6.8854077613931,5.76222409443962e-12,1.76676671003094e-09,"F5"
"ENSG00000163492.16",1910.57076557197,-1.00904876356405,0.147226723495814,-6.85370657992492,7.19606085603844e-12,2.17395114949408e-09,"CCDC141"
"ENSG00000189221.11",1086.4834277562,-0.753578086490751,0.110124752580355,-6.8429491902003,7.75791741911431e-12,2.30972315276616e-09,"MAOA"
"ENSG00000142627.13",13541.6901529562,0.495087294818512,0.0725765010915338,6.82159221473224,9.00369436917569e-12,2.64232704894252e-09,"EPHA2"
"ENSG00000168843.14",701.002725863372,-0.886874147702587,0.130814946545953,-6.77960868478466,1.20501818275808e-11,3.48657584907031e-09,"FSTL5"
"ENSG00000123307.4",147.544567760105,-1.27090713619049,0.188798361877357,-6.73155806836962,1.67855816770979e-11,4.78925283878642e-09,"NEUROD4"
"ENSG00000176406.25",644.218321394562,-0.841995347605828,0.126174755705225,-6.67324729815948,2.50204240405602e-11,7.04102152144149e-09,"RIMS2"
"ENSG00000181072.12",85.1945458343879,2.66027226140628,0.39916806556712,6.6645418080394,2.65492320522768e-11,7.3702820817557e-09,"CHRM2"
"ENSG00000122859.5",770.570239875055,-0.911426313014697,0.137704032833435,-6.61873362937122,3.62288985974982e-11,9.9233368518454e-09,"NEUROG3"
"ENSG00000183665.5",926.43514909905,-0.616170846347804,0.0931979904430897,-6.61141772927027,3.80656652900302e-11,1.02892495006986e-08,"TRMT12"
"ENSG00000136048.14",5706.55889733329,0.78060517708101,0.118224717831864,6.60272395990125,4.03670772670185e-11,1.07696216661865e-08,"DRAM1"
"ENSG00000077264.17",300.531541021942,-1.00146576533454,0.151815551066886,-6.59659539682674,4.20706837423401e-11,1.10802314887037e-08,"PAK3"
"ENSG00000227640.5",286.977641093183,-1.06740396541657,0.163948768833262,-6.51059457788384,7.48539210897117e-11,1.94648620372905e-08,"SOX21-AS1"
"ENSG00000013293.6",86.0076426239993,-1.63443097577784,0.252632742434187,-6.46959281694703,9.82673548474999e-11,2.52338283829024e-08,"SLC7A14"
"ENSG00000183463.7",201.146091220716,1.17174909074369,0.181853822085514,6.44335696278462,1.16859403564405e-10,2.95345222182181e-08,"URAD"
"ENSG00000156466.11",230.543688991029,1.22303277791225,0.189852260753009,6.44202377712725,1.17890805719412e-10,2.95345222182181e-08,"GDF6"
"ENSG00000163618.18",1768.66190139522,-0.724579442033852,0.112540550036946,-6.43838546902407,1.2075102353787e-10,2.98866057414273e-08,"CADPS"
